"Village Name","Before Merge",,,"After Merge",,
,"EVR","NGONI","Total","EVR","NGONI","Total"
"Biwi",291,125,416,287,124,411
"Bwalo 1",185,181,366,,,0
"Bwalo 2",370,360,730,,,0
"Bwatha",1206,243,1449,1198,243,1441
"Chagamba",1,1,2,,,0
"Chagamba 1",324,321,645,,,0
"Chakale",470,101,571,469,101,570
"Chalasa",1300,219,1519,1217,219,1436
"Chaonya",209,18,227,209,18,227
"Chidalanda",704,171,875,700,169,869
"Chikamba",571,115,686,571,115,686
"Chikolokoto",123,6,129,123,6,129
"Chimphepo Chalasa",374,373,747,,,0
"Chimphepo-Chalasa",1,1,2,,,0
"Chisompha",272,269,541,,,0
"Chitawa",132,1,133,130,1,131
"Chitululu",806,45,851,803,45,848
"Chiyendanchiwanda",2,2,4,,,0
"Chizele",190,151,341,188,150,338
"Chizumba",738,389,1127,728,387,1115
"Chule 1",422,422,844,,,0
"Chule 2",747,740,1487,,,0
"Dongolosi",775,90,865,770,90,860
"Fainda",173,3,176,173,3,176
"Kabzyoko",623,620,1243,,,0
"Kacheche",535,3,538,535,3,538
"Kafutwe",1059,464,1523,1059,460,1519
"Kalulu",257,33,290,256,33,289
"Kamadzi",1038,1033,2071,,,0
"Kambira",420,32,452,412,32,444
"Kambulire 1",1114,1107,2221,,,0
"Kambulire 2",626,626,1252,,,0
"Kambulire II",5,5,10,,,0
"Kamphinga",1048,326,1374,1048,325,1373
"Kaning’a",350,342,692,,,0
"Kanyoza",980,345,1325,970,343,1313
"Kazinkambani",168,39,207,168,39,207
"Kholongo",559,49,608,558,49,607
"Konkha",3,4,7,3,4,7
"Kuthengo",192,1,193,180,1,181
"Malenga",337,49,386,335,48,383
"Mankhwazi",772,16,788,748,16,764
"Maole",533,104,637,533,104,637
"Maselelo",3,3,6,,,0
"Maselero",1306,74,1380,1302,74,1376
"Masumba",422,2,424,421,2,423
"Matchakaza",908,11,919,904,11,915
"Mawanda",603,2,605,591,2,593
"Mazira",564,93,657,560,93,653
"Mbalame",737,190,927,737,190,927
"Mbewa",411,39,450,411,39,450
"Mbulachisa",253,5,258,247,5,252
"Mchazime",198,7,205,197,7,204
"Mchena",478,16,494,471,16,487
"Mdzoole",795,71,866,788,71,859
"Mfuti",393,19,412,391,19,410
"Mgwadula",190,2,192,185,2,187
"Misewu",452,25,477,447,25,472
"Mkupeta",178,1,179,178,1,179
"Mmaso",268,261,529,,,0
"Mndele",528,198,726,528,197,725
"Mphambu",313,7,320,313,7,320
"Mphonde",1474,89,1563,1471,89,1560
"Mseteza",357,60,417,356,60,416
"Mtema",177,176,353,,,0
"Mtema 1",1402,1391,2793,,,0
"Mtema 2",653,647,1300,,,0
"Mtsukwa Chikupa",675,665,1340,,,0
"Mtsukwa Kalonje",171,169,340,,,0
"Mutu",2087,1,2088,2081,1,2082
"Mwaza",1017,271,1288,1007,271,1278
"Mzingo",509,159,668,508,158,666
"Mzumazi",18,7,25,18,7,25
"Nchazime",3,3,6,,,0
"Ndalama",176,5,181,171,5,176
"Ngoza",122,42,164,122,42,164
"Nkhadani 1",274,274,548,,,0
"Nkhadani 2",271,268,539,,,0
"Nkhanamba",950,122,1072,932,119,1051
"Nkhonkha",755,66,821,751,65,816
"Nkhuchi",80,76,156,,,0
"Nsanda",565,20,585,556,20,576
"Ntandazo",3,3,6,,,0
"Nzumazi",2082,2077,4159,,,0
"Other",5,4,9,,,0
"Ngoza",3,3,6,,,0
"Nkhuntchi",24,23,47,,,0
"Tonde",9,9,18,,,0
"Undi",5,5,10,,,0
"Pheleni",1351,1,1352,1348,1,1349
"Suntche 1",555,553,1108,,,0
"Suntche 2",407,404,811,,,0
"Taiza",662,3,665,660,3,663
"Thandaza",1131,171,1302,1130,171,1301
"Tonde",401,161,562,399,161,560
"Undi",443,19,462,441,19,460
"Waya Kunseche",359,359,718,,,0
"Wayakumseche",2,2,4,,,0
,1,1,2,,,0
,49184,18880,68064,34993,5081,
