"SN","Village Name","Before Merge",,,"After Merge",,
,,"EVR","NGONI","Total","EVR","NGONI","Total"
1,"Biwi","291 ","125 ","416 ","287 ","124 ","411 "
2,"Bwalo 1","185 ","0 ","185 ","181 ","0 ","181 "
3,"Bwalo 2","370 ","0 ","370 ","360 ","0 ","360 "
4,"Bwatha","1,206 ","243 ","1,449 ","1,198 ","243 ","1,441 "
5,"Chagamba","1 ","0 ","1 ","1 ","0 ","1 "
6,"Chagamba 1","324 ","0 ","324 ","321 ","0 ","321 "
7,"Chakale","470 ","101 ","571 ","469 ","101 ","570 "
8,"Chakale ","0 ","1 ","1 ","0 ","1 ","1 "
9,"Chalasa","1,300 ","219 ","1,519 ","1,217 ","219 ","1,436 "
10,"Chaonya","209 ","18 ","227 ","209 ","18 ","227 "
11,"Chidalanda","704 ","171 ","875 ","700 ","169 ","869 "
12,"Chikamba","571 ","115 ","686 ","571 ","115 ","686 "
13,"Chikolokoto","123 ","6 ","129 ","123 ","6 ","129 "
14,"Chimphepo Chalasa","374 ","0 ","374 ","373 ","0 ","373 "
15,"Chimphepo-Chalasa","1 ","0 ","1 ","1 ","0 ","1 "
16,"Chisompha","272 ","0 ","272 ","269 ","0 ","269 "
17,"Chitawa","132 ","1 ","133 ","130 ","1 ","131 "
18,"Chitululu","806 ","45 ","851 ","803 ","45 ","848 "
19,"Chiyendanchiwanda","2 ","0 ","2 ","2 ","0 ","2 "
20,"Chizele","190 ","151 ","341 ","188 ","150 ","338 "
21,"Chizumba","738 ","389 ","1,127 ","728 ","387 ","1,115 "
22,"Chule 1","422 ","0 ","422 ","422 ","0 ","422 "
23,"Chule 2","747 ","0 ","747 ","740 ","0 ","740 "
24,"Dongolosi","775 ","90 ","865 ","770 ","90 ","860 "
25,"Fainda","173 ","3 ","176 ","173 ","3 ","176 "
26,"Kabwabwa","0 ","13 ","13 ","0 ","13 ","13 "
27,"Kabzyoko","623 ","0 ","623 ","620 ","0 ","620 "
28,"Kacheche","535 ","3 ","538 ","535 ","3 ","538 "
29,"Kafutwe","1,059 ","464 ","1,523 ","1,059 ","460 ","1,519 "
30,"Kalulu","257 ","33 ","290 ","256 ","33 ","289 "
31,"Kamadzi","1,038 ","0 ","1,038 ","1,033 ","0 ","1,033 "
