"Village Name","Before Merge",,,"After Merge",,
,"EVR","NGONI","Total","EVR","NGONI","Total"
"Biwi",291,125,,,,
"Bwalo 1",185,,,,,
"Bwalo 2",370,,,,,
"Bwatha",1206,243,,,,
"Chagamba",1,,,,,
"Chagamba 1",324,,,,,
"Chakale",470,102,,,,
"Chalasa",1300,,,,,
"Chaonya",209,,,,,
"Chidalanda",704,,,,,
"Chikamba",571,,,,,
"Chikolokoto",123,,,,,
"Chimphepo Chalasa",374,,,,,
"Chimphepo-Chalasa",1,,,,,
"Chisompha",272,,,,,
"Chitawa",132,,,,,
"Chitululu",806,,,,,
"Chiyendanchiwanda",2,,,,,
"Chizele",190,,,,,
"Chizumba",738,,,,,
"Chule 1",422,,,,,
"Chule 2",747,,,,,
"Dongolosi",775,,,,,
"Fainda",173,,,,,
"Kabzyoko",623,,,,,
"Kacheche",535,,,,,
"Kafutwe",1059,,,,,
"Kalulu",257,,,,,
"Kamadzi",1038,,,,,
"Kambira",420,,,,,
"Kambulire 1",1114,,,,,
"Kambulire 2",626,,,,,
"Kambulire II",5,,,,,
"Kamphinga",1048,,,,,
"Kaning'a",350,,,,,
"Kanyoza",980,,,,,
"Kazinkambani",168,,,,,
"Kholongo",559,,,,,
"Konkha",3,,,,,
"Kuthengo",192,,,,,
"Malenga",337,,,,,
"Mankhwazi",772,,,,,
"Maole",533,,,,,
"Maselelo",3,,,,,
"Maselero",1306,,,,,
"Masumba",422,,,,,
"Matchakaza",908,,,,,
"Mawanda",603,,,,,
"Mazira",564,,,,,
"Mbalame",737,,,,,
"Mbewa",411,,,,,
"Mbulachisa",253,,,,,
"Mchazime",198,,,,,
"Mchena",478,,,,,
"Mdzoole",795,,,,,
"Mfuti",393,,,,,
"Mgwadula",190,,,,,
"Misewu",452,,,,,
"Mkupeta",178,,,,,
"Mmaso",268,,,,,
"Mndele",528,,,,,
"Mphambu",313,,,,,
"Mphonde",1474,,,,,
"Mseteza",357,,,,,
"Mtema",177,,,,,
"Mtema 1",1402,,,,,
"Mtema 2",653,,,,,
"Mtsukwa Chikupa",675,,,,,
"Mtsukwa Kalonje",171,,,,,
"Mutu",2087,,,,,
"Mwaza",1017,,,,,
"Mzingo",509,,,,,
"Mzumazi",18,,,,,
"Nchazime",3,,,,,
"Ndalama",176,,,,,
"Ngoza",122,,,,,
"Ngoza",3,,,,,
"Nkhadani 1",274,,,,,
"Nkhadani 2",271,,,,,
"Nkhanamba",950,,,,,
"Nkhonkha",755,,,,,
"Nkhuchi",80,,,,,
"Nkhuntchi",24,,,,,
"Nsanda",565,,,,,
"Ntandazo",3,,,,,
"Nzumazi",2082,,,,,
"Other",5,,,,,
"Pheleni",1351,,,,,
"Suntche 1",555,,,,,
"Suntche 2",407,,,,,
"Taiza",662,,,,,
"Thandaza",1131,,,,,
"Tonde",401,,,,,
"Tonde",9,,,,,
"Undi",443,,,,,
"Undi",5,,,,,
"Waya Kunseche",359,,,,,
"Wayakumseche",2,,,,,
,1,,,,,
